GENEID,TXNAME
K562_RS04320,K562_RS04320
K562_RS04325,K562_RS04325
K562_RS04330,K562_RS04330
K562_RS04335,K562_RS04335
K562_RS04340,K562_RS04340
K562_RS04345,K562_RS04345
K562_RS04350,K562_RS04350
K562_RS04355,K562_RS04355
K562_RS04360,K562_RS04360
K562_RS04365,K562_RS04365
K562_RS04370,K562_RS04370
K562_RS04375,K562_RS04375
K562_RS04380,K562_RS04380
K562_RS04385,K562_RS04385
K562_RS04390,K562_RS04390
K562_RS04395,K562_RS04395
K562_RS04400,K562_RS04400
K562_RS04405,K562_RS04405
K562_RS04410,K562_RS04410
K562_RS04415,K562_RS04415
K562_RS04420,K562_RS04420
K562_RS04425,K562_RS04425
K562_RS04430,K562_RS04430
K562_RS04435,K562_RS04435
